source_id,source_type,relation,properties,target_id,target_type
CID_638278,Phytochemical,interacts_with,,6311,Target
CID_638278,Phytochemical,interacts_with,,641,Target
CID_638278,Phytochemical,interacts_with,,6595,Target
CID_638278,Phytochemical,interacts_with,,6622,Target
CID_638278,Phytochemical,interacts_with,,6714,Target
CID_638278,Phytochemical,interacts_with,,7157,Target
CID_638278,Phytochemical,interacts_with,,7299,Target
CID_638278,Phytochemical,interacts_with,,7398,Target
CID_638278,Phytochemical,interacts_with,,7421,Target
CID_638278,Phytochemical,interacts_with,,79915,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_126,Phytochemical
CID_126,Phytochemical,interacts_with,,18,Target
CID_126,Phytochemical,interacts_with,,3620,Target
CID_126,Phytochemical,interacts_with,,4353,Target
CID_126,Phytochemical,interacts_with,,7915,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_114829,Phytochemical
CID_114829,Phytochemical,interacts_with,,10013,Target
CID_114829,Phytochemical,interacts_with,,1543,Target
CID_114829,Phytochemical,interacts_with,,1545,Target
CID_114829,Phytochemical,interacts_with,,1588,Target
CID_114829,Phytochemical,interacts_with,,2099,Target
CID_114829,Phytochemical,interacts_with,,2100,Target
CID_114829,Phytochemical,interacts_with,,3725,Target
CID_114829,Phytochemical,interacts_with,,4312,Target
CID_114829,Phytochemical,interacts_with,,4313,Target
CID_114829,Phytochemical,interacts_with,,4314,Target
CID_114829,Phytochemical,interacts_with,,4316,Target
CID_114829,Phytochemical,interacts_with,,4318,Target
CID_114829,Phytochemical,interacts_with,,4322,Target
CID_114829,Phytochemical,interacts_with,,4780,Target
CID_114829,Phytochemical,interacts_with,,5693,Target
CID_114829,Phytochemical,interacts_with,,5770,Target
CID_114829,Phytochemical,interacts_with,,5970,Target
CID_114829,Phytochemical,interacts_with,,7299,Target
CID_114829,Phytochemical,interacts_with,,7525,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_442410,Phytochemical
CID_442410,Phytochemical,interacts_with,,1588,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_5281805,Phytochemical
CID_5281805,Phytochemical,interacts_with,,5465,Target
CID_5281805,Phytochemical,interacts_with,,5467,Target
CID_5281805,Phytochemical,interacts_with,,5468,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_5282073,Phytochemical
